date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:23	35587/35587	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/index.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/index.html	(from )
17:23:23	162/162	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Mar%202016%2016:23:23%20GMT	http://html.nkdev.info/robots.txt		(from )
17:23:23	2388/2388	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/icon.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/icon.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:24	653/653	---MC-	200	added ('OK')	text/css	date:Sat,%2019%20Mar%202016%2016:23:23%20GMT	http://fonts.googleapis.com/css?family=Lato:300,400,700	/home/euter/websites/WebGames/fonts.googleapis.com/css8f84.css	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:24	122540/122540	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/bootstrap/css/bootstrap.min.css	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:25	26711/26711	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/fontawesome/css/font-awesome.min.css	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/fontawesome/css/font-awesome.min.css	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:25	4614/4614	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/assets/plugins/owl.carousel/owl.carousel.css	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/plugins/owl.carousel/owl.carousel.css	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:25	86696/86696	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/assets/youplay/css/youplay.min.css	/home/euter/websites/WebGames/html.nkdev.info/youplay/assets/youplay/css/youplay.min.css	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:25	39554/39554	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/store-1.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/store-1.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:25	4352/4352	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/logo.png	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/logo.png	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:26	42048/42048	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/store-2.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/store-2.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:26	22740/22740	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/cart.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/cart.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:26	34696/34696	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/store-product-1.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/store-product-1.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:27	39638/39638	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/store-product-2.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/store-product-2.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:27	36210/36210	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/checkout.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/checkout.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:27	27075/27075	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:06%20GMT	http://html.nkdev.info/youplay/dark/blog-1.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-1.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:27	26328/26328	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/blog-2.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-2.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:27	19651/19651	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/blog-3.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-3.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:28	26231/26231	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/blog-post-1.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-post-1.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:28	26832/26832	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/blog-post-2.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-post-2.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:28	27242/27242	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:08%20GMT	http://html.nkdev.info/youplay/dark/blog-post-3.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blog-post-3.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:28	22831/22831	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/user-activity.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/user-activity.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:28	21365/21365	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/user-profile.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/user-profile.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:29	23634/23634	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/user-messages.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/user-messages.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:29	18475/18475	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/user-messages-compose.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/user-messages-compose.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:29	24239/24239	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/user-settings.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/user-settings.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:29	23448/23448	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/forums.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/forums.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:29	24253/24253	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/forums-topics.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/forums-topics.html	(from http://html.nkdev.info/youplay/dark/index.html)
